,MUSE-SBSA,MUSE-SBSB,MUSE-SBSC,MUSE-SBSD,MUSE-SBSE
0,0.017255446,0.0038047875,0.013419991,0.03034314,0.010435639
1,0.013990241,0.0015912261,0.012021249,0.019575134,0.006299217
2,0.0025289704,0.00073414325,0.0048585697,0.0013090996,0.0022171556
3,0.008821672,0.00169608,0.008296942,0.020093093,0.0069930726
4,0.005233201,0.0037033078,0.004899735,0.01506001,0.00502186
5,0.0024736654,0.001426162,0.002874675,0.009522473,0.0023151024
6,0.001294595,0.00038642305,0.0015099093,0.0035725278,0.0012172034
7,0.0061992523,0.0034110926,0.0054902416,0.013214392,0.0054260637
8,0.020303925,0.0074186935,0.027053455,0.021666737,0.01397015
9,0.009354592,0.00308199,0.013986861,0.013154114,0.007706891
10,0.119816944,0.008420722,0.009148536,0.0027059424,0.0047130585
11,0.010863815,0.004244297,0.01902653,0.021595445,0.011023663
12,0.009510068,0.0014066371,0.011242474,0.011270295,0.0070079314
13,0.006251839,0.0011068056,0.004207213,0.007817039,0.0030861264
14,0.0071413284,0.0012097675,0.00784411,0.007325706,0.0044639586
15,0.017652715,0.002825585,0.010440114,0.013663706,0.0078049363
16,0.023365853,0.005030884,0.093194924,0.011583761,0.032169648
17,0.0057387976,0.0012961728,0.008119861,0.013859043,0.0048485072
18,0.01323239,0.0033706673,0.044265535,0.0123747755,0.015120113
19,0.017367497,0.0042138733,0.035531916,0.025111351,0.017272431
20,0.0022537778,0.0006484513,0.0029572467,0.00770359,0.0024930334
21,0.002031702,0.0005145478,0.0010767679,0.0040869853,0.0011731625
22,0.002596905,0.00040883757,0.002331622,0.007858736,0.0018324858
23,0.006143962,0.00080975087,0.0061431197,0.009929521,0.0039505023
24,0.011035794,0.0039851665,0.01948298,0.020146672,0.013540605
25,0.010036864,0.002520205,0.016326154,0.012720808,0.009011385
26,0.0010935541,0.0010695267,0.005279415,0.0018961566,0.0027395792
27,0.012091903,0.0023848196,0.0138177555,0.016300203,0.00912251
28,0.0013106492,0.004047024,0.0050665704,0.016045135,0.004119141
29,0.0022707495,0.00063757703,0.0062998757,0.011679076,0.0030876622
30,0.00027967087,0.00039971032,0.0040815817,0.009265701,0.0027469313
31,0.0017374589,0.005246142,0.007906677,0.016694818,0.0062723085
32,0.01562455,0.014359353,0.0379719,0.0139599815,0.020814825
33,0.019223334,0.0060250885,0.035905704,0.0057295174,0.01548429
34,0.083712146,0.007583563,0.0111093065,0.003198278,0.0044102673
35,0.023394149,0.009694103,0.04677286,0.009800142,0.02205936
36,0.0030744397,0.00065880414,0.008389621,0.008464707,0.004589382
37,0.0037261918,0.0017518075,0.003450302,0.005641108,0.0030051754
38,0.0034892075,0.00078359304,0.0115201045,0.007767974,0.0056155073
39,0.0058498713,0.0010092782,0.0074593863,0.013284919,0.005849048
40,0.0052046487,0.0010642878,0.032168772,0.0066905394,0.011780019
41,0.007088145,0.00065436243,0.00611768,0.011742911,0.0031448554
42,0.005041653,0.00070925587,0.01711161,0.012003752,0.0070741796
43,0.008499072,0.00208649,0.013493407,0.013615273,0.0071392483
44,0.0019060436,0.0004497498,0.0019007636,0.008064752,0.0014477615
45,0.0020468535,0.00042284647,0.0011747639,0.0062868395,0.0013484319
46,0.0024460163,0.0005796683,0.003567805,0.00849564,0.0024803495
47,0.008855054,0.0009463563,0.0028816315,0.019524539,0.003274566
48,0.019504702,0.0027591945,0.008602161,0.017185507,0.0069475234
49,0.006191579,0.0020101888,0.009470624,0.014883563,0.0053512836
50,0.0027738907,0.000557026,0.004344434,0.0013762586,0.0017840024
51,0.011150596,0.0019598193,0.0075457394,0.015355887,0.005353522
52,0.001977196,0.0012805706,0.0033800036,0.007928402,0.0021790254
53,0.002443593,0.00075877685,0.00315977,0.007741566,0.0020972295
54,0.001040492,0.0011160213,0.001635091,0.002039453,0.0016756898
55,0.0018193647,0.0024943985,0.0023236754,0.009020367,0.0031239255
56,0.011713043,0.0074334457,0.015742984,0.021589864,0.010458131
57,0.018357933,0.005169604,0.01622366,0.011797203,0.009083682
58,0.10461277,0.008068459,0.0044648135,0.00075633515,0.00287224
59,0.021563267,0.0053623454,0.01933539,0.014500487,0.010423774
60,0.0016992238,0.0006346172,0.006256142,0.0061942786,0.003114256
61,0.0021943308,0.00044841753,0.0027773906,0.0059695765,0.0017645512
62,0.0024548788,0.00041661534,0.006757262,0.005938382,0.0033952836
63,0.0017421937,0.00056140043,0.0048943004,0.010116276,0.0035423837
64,0.013950902,0.0012717824,0.033457726,0.010996671,0.010548746
