,MUSE-SBSA,MUSE-SBSB,MUSE-SBSC,MUSE-SBSD
0,0.032608874,0.023596527,0.010900554,0.050306328
1,0.021673799,0.019597048,0.0077375583,0.019072365
2,0.0029469775,0.004825636,0.0014401914,0.0073989285
3,0.025458958,0.028826118,0.0044732997,0.016952708
4,0.012923056,0.015505331,0.006769924,0.018590288
5,0.007041371,0.009416371,0.0051634638,0.008483631
6,0.002704792,0.0039204555,0.002542385,0.004311829
7,0.010312376,0.011074879,0.010001243,0.02191494
8,0.017192105,0.03960017,0.023120217,0.05269692
9,0.0099286605,0.023070406,0.011061819,0.028293189
10,0.004467259,0.18009248,0.008719586,0.01263524
11,0.017317442,0.0255008,0.013793984,0.042226553
12,0.012912683,0.012466239,0.007892326,0.028363481
13,0.006954023,0.018116664,0.0053065764,0.0073643886
14,0.011213686,0.00984856,0.0043167262,0.011712532
15,0.012293783,0.026190203,0.02891313,0.027336365
16,0.016510746,0.0526536,0.020466235,0.12829661
17,0.00666307,0.011370051,0.0042949365,0.026613742
18,0.0115596,0.019494602,0.009324498,0.08080604
19,0.013374251,0.031216348,0.010335651,0.060036212
20,0.0035777793,0.009790933,0.003572141,0.006294173
21,0.0034513704,0.005345701,0.0006389411,0.0035902008
22,0.004218167,0.01134523,0.002440454,0.005496404
23,0.0039795497,0.01111001,0.0047188234,0.020168219
24,0.023857415,0.0150496485,0.011362263,0.051211964
25,0.018139822,0.0322064,0.007891903,0.020577468
26,0.0046770163,0.00071019697,0.0034096637,0.009584146
27,0.024110842,0.030387783,0.008032805,0.024905516
28,0.008759554,0.006085031,0.0065606884,0.020666042
29,0.006255439,0.0067735226,0.0039268946,0.013405636
30,0.0027168754,0.0025487356,0.0012359781,0.015311408
31,0.0151176425,0.011575538,0.008195667,0.021891657
32,0.025608042,0.038584653,0.033418644,0.056492113
33,0.0082889795,0.030244727,0.011073854,0.038897134
34,0.049495973,0.13353178,0.017140236,0.0037079738
35,0.018247321,0.044363145,0.015640195,0.06077634
36,0.008977707,0.0105325645,0.0035144915,0.014310675
37,0.01081364,0.014592906,0.0035705627,0.008081708
38,0.0115585085,0.0049783527,0.0023464032,0.025473613
39,0.014888811,0.02163267,0.0033339947,0.007473871
40,0.005885062,0.014195753,0.0058445134,0.04822346
41,0.008133708,0.01579222,0.0042276685,0.016193757
42,0.0055449875,0.0134959165,0.006111768,0.03348417
43,0.007260653,0.023295853,0.007276503,0.015231447
44,0.0036323494,0.0075598666,0.0006392876,0.0086109545
45,0.0020214303,0.006386459,0.0023510973,0.005956075
46,0.005458772,0.006064725,0.0026013083,0.008907625
47,0.010139866,0.028020596,0.005714833,0.011517444
48,0.026135284,0.036902886,0.009542138,0.019661462
49,0.013950251,0.024400812,0.0075541353,0.0139467865
50,0.0039172834,0.0046347477,0.0015332474,0.0063793287
51,0.015994836,0.023477275,0.00969025,0.017447084
52,0.008714424,0.008949699,0.0017407682,0.0067950273
53,0.0054274155,0.0052518374,0.00233873,0.011297514
54,0.0027330446,0.0023335847,0.0011481347,0.003198287
55,0.007197353,0.010702611,0.0052802702,0.0066790013
56,0.031239,0.029969633,0.010803414,0.031482708
57,0.016726723,0.026465882,0.012808889,0.03809879
58,0.03493303,0.15747781,0.015543448,0.008344932
59,0.023152197,0.051751167,0.012599796,0.024720116
60,0.005568026,0.0021269168,0.0026925274,0.015444537
61,0.006055324,0.008364988,0.0008696949,0.005297306
62,0.0048717344,0.009154024,0.0030041782,0.011038919
63,0.008596262,0.012852279,0.004085573,0.008574216
64,0.007884329,0.029400522,0.0030891506,0.04694937
65,0.006345927,0.015415156,0.003137987,0.01002428
66,0.0065572336,0.026054084,0.006237122,0.016237542
67,0.009517473,0.03390891,0.0062202495,0.024236005
68,0.002318867,0.005132037,0.0015540855,0.0037093107
69,0.0018171843,0.00389854,0.0010485149,0.002044319
70,0.0047689443,0.0050588455,0.002376269,0.008851408
71,0.0049533993,0.0097778,0.003990236,0.0063187433
72,0.04792232,0.038904127,0.041530795,0.045248754
73,0.027546873,0.035738252,0.02651535,0.027471084
74,0.006273237,0.008812639,0.0054693627,0.0028861868
75,0.04640241,0.05371507,0.027759075,0.034485377
76,0.20934883,0.04204653,0.18053788,0.05329261
77,0.03915189,0.019343155,0.039005015,0.021918822
78,0.008366292,0.005505558,0.009514546,0.006439732
79,0.11922673,0.10135089,0.14714931,0.09955129
80,0.081025,0.09921819,0.33795354,0.06420978
81,0.059093058,0.05500847,0.07191314,0.049388163
82,0.01511873,0.09961514,0.026525488,0.023700994
83,0.087633565,0.1411983,0.18858902,0.087158635
84,0.017842706,0.041753214,0.008513571,0.014636484
85,0.007841757,0.006096939,0.0033344696,0.013605677
86,0.0058653136,0.004004993,0.0029629765,0.0116696535
87,0.017631164,0.032036074,0.008989254,0.014857963
88,0.008608911,0.030570924,0.008296355,0.055757582
89,0.011477828,0.018267352,0.0029965066,0.0107530635
90,0.0058722473,0.025571967,0.00587838,0.018693289
91,0.019031115,0.019098463,0.0057582906,0.04287764
92,0.03990743,0.011856389,0.0013239916,0.008957959
93,0.003420364,0.005486876,0.0018167017,0.008911656
94,0.00953257,0.011595211,0.0009909298,0.009413361
95,0.019888937,0.03594633,0.005130938,0.020999182
