,MUSE-SBSA,MUSE-SBSB,MUSE-SBSC
0,0.0071101175,0.02230463,0.01455762
1,0.004382406,0.014385039,0.006723509
2,0.0014450005,0.0023148605,0.0025843517
3,0.00378309,0.013389042,0.009728359
4,0.004478585,0.009000028,0.0068531944
5,0.0020647205,0.0047664,0.0037706655
6,0.0024072458,0.0028242772,0.0030866296
7,0.004810558,0.009518765,0.006053411
8,0.012364306,0.022159185,0.01732454
9,0.0054142503,0.011552496,0.010628587
10,0.015688356,0.08597805,0.0025347255
11,0.0072658956,0.016629305,0.013896167
12,0.0037955388,0.010657352,0.008563702
13,0.0023028455,0.007330025,0.004998443
14,0.0028140948,0.007854613,0.0059182076
15,0.0053073494,0.018640224,0.00816676
16,0.015270025,0.023780322,0.036824796
17,0.0028584176,0.009121496,0.00680917
18,0.0101819765,0.015671857,0.021969782
19,0.009486219,0.01841646,0.019431908
20,0.0013001378,0.0042352257,0.0033227946
21,0.0006722455,0.0023960068,0.0013902189
22,0.0018523678,0.004084802,0.0034582033
23,0.0021960228,0.0077352906,0.0049042297
24,0.007768632,0.016291251,0.0153782265
25,0.0057708463,0.0122757,0.011324754
26,0.0018206956,0.002061847,0.0032638754
27,0.0053197118,0.0149567155,0.011643696
28,0.003843942,0.005347277,0.007005765
29,0.0019819192,0.0059195575,0.0061218343
30,0.0027514545,0.004495697,0.0041003027
31,0.005523893,0.0077144885,0.008571242
32,0.017116223,0.019167947,0.01600432
33,0.00568615,0.008303905,0.01571985
34,0.01178994,0.060314678,0.0028947634
35,0.018232893,0.025239611,0.022809165
36,0.002282599,0.0046632932,0.006648136
37,0.0035570338,0.005301944,0.0040732855
38,0.0033571296,0.0063607953,0.007611749
39,0.0025975932,0.009255739,0.0078043146
40,0.0053643165,0.008083185,0.01524656
41,0.0021403017,0.008627303,0.0055311467
42,0.0034277819,0.004162281,0.010531781
43,0.004060319,0.011232245,0.010411717
44,0.0008739455,0.003436429,0.002993457
45,0.00092132186,0.002876603,0.0021011848
46,0.0013684446,0.0037562386,0.0037947856
47,0.0026887986,0.008658921,0.0059883487
48,0.0049433457,0.017697997,0.0077388794
49,0.0038110681,0.0093366215,0.008200563
50,0.0014243617,0.0027383189,0.0022929166
51,0.0044423407,0.011196253,0.007248695
52,0.0016992834,0.0041229445,0.0038598373
53,0.0013642159,0.003914978,0.0034711896
54,0.0006696908,0.0010108909,0.0011944214
55,0.0028438424,0.0042420337,0.0039160205
56,0.00922659,0.017452639,0.0133293625
57,0.007904019,0.017291669,0.007964679
58,0.014280465,0.06857737,0.002018232
59,0.009851871,0.022445416,0.010962272
60,0.001714316,0.0032849896,0.004561669
61,0.0009425439,0.0031974553,0.0027936713
62,0.0015493507,0.0047550676,0.005243476
63,0.0015658628,0.0050516822,0.0051845936
64,0.0056349486,0.013715081,0.016317438
65,0.0017809042,0.008538353,0.003924804
66,0.0035250143,0.00915728,0.0070409873
67,0.004269855,0.012786962,0.009881597
68,0.00060195784,0.0019466005,0.0017072977
69,0.0012208235,0.0020805732,0.0017909113
70,0.0009797612,0.0042785425,0.0028505619
71,0.0022396715,0.0055921627,0.002445216
72,0.037247125,0.036523134,0.013193962
73,0.016653903,0.017455472,0.01468641
74,0.0036392391,0.0042936513,0.0035903633
75,0.0219045,0.03125444,0.010112984
76,0.15267178,0.049439173,0.030158762
77,0.03352418,0.012832448,0.0071621835
78,0.0071206195,0.0037323267,0.0031402681
79,0.2089164,0.09077071,0.03521778
80,0.23651572,0.06726065,0.026033247
81,0.047763802,0.033578716,0.021834841
82,0.016004974,0.041675765,0.0043909485
83,0.057344478,0.033537902,0.04410585
84,0.0037591984,0.012269218,0.0077437805
85,0.001631118,0.0062061786,0.0049815774
86,0.0019606932,0.003429932,0.0051247673
87,0.0046990514,0.010692423,0.008585763
88,0.0074889297,0.01348857,0.018751916
89,0.0023982604,0.010715528,0.0053064963
90,0.0033439952,0.009223883,0.0077870907
91,0.005433605,0.014713166,0.012156801
92,0.0023230284,0.0051185405,0.005294956
93,0.0032624572,0.0034581255,0.0030008857
94,0.0014411996,0.00502196,0.0042245993
95,0.0040027583,0.01633584,0.008662411
