,MUSE-SBSA,MUSE-SBSB,MUSE-SBSC
0,0.005479418,0.015466377,0.00595075
1,0.0051010335,0.010526227,0.007627213
2,0.0070166066,0.0021796667,0.0030871597
3,0.0032396794,0.008268861,0.010634474
4,0.0027357417,0.005578944,0.010905373
5,0.0015214094,0.0030883835,0.0059663416
6,0.0012537097,0.0018520091,0.005943072
7,0.002670032,0.0062125316,0.0042595663
8,0.0066449554,0.0098635955,0.009602072
9,0.003892721,0.0066238074,0.00460837
10,0.008356903,0.026005138,0.0072566075
11,0.006023994,0.009704003,0.008845104
12,0.003000429,0.007006815,0.007827162
13,0.0016263385,0.0048400885,0.0036136466
14,0.0030430933,0.0055168387,0.0046705613
15,0.0044197794,0.0125471335,0.0054169456
16,0.016251894,0.007951815,0.01202455
17,0.0025701062,0.0052749394,0.006093985
18,0.0078571765,0.008794738,0.007715839
19,0.0070220083,0.008934045,0.009767587
20,0.0025238593,0.0033193459,0.0049886815
21,0.005157188,0.0014266722,0.009985221
22,0.001395824,0.002503311,0.0012959823
23,0.0018664118,0.00533676,0.0021543861
24,0.005742267,0.0067712637,0.013310621
25,0.005136527,0.006708124,0.010929522
26,0.0012181706,0.0012123978,0.0018948633
27,0.0041828887,0.009095066,0.011167275
28,0.0038795318,0.0029383427,0.013223852
29,0.002033777,0.0032151802,0.0019169569
30,0.0050189476,0.0015192879,0.006780643
31,0.0043978575,0.0043638153,0.005126278
32,0.009981411,0.010324376,0.012647854
33,0.007853331,0.011734006,0.0070374035
34,0.0058638537,0.0442608,0.0068184705
35,0.010538824,0.013692086,0.010108553
36,0.0031598606,0.003205647,0.008068421
37,0.0017650155,0.0039685597,0.006483385
38,0.0027813923,0.003067001,0.002864305
39,0.0027501069,0.0055855606,0.009970376
40,0.0052825776,0.0051026763,0.0066072866
41,0.0019672692,0.005672878,0.005103018
42,0.0046599433,0.004374857,0.0067013577
43,0.0037396823,0.0067827925,0.0076228357
44,0.0016071002,0.0023894194,0.0051472285
45,0.004696592,0.0021239768,0.0028684265
46,0.0015255294,0.002528545,0.0055106613
47,0.0017833322,0.007969934,0.006086397
48,0.003225686,0.014326034,0.0048411894
49,0.003180062,0.005788422,0.007756762
50,0.006892736,0.0015390923,0.00096028094
51,0.0029192627,0.008335069,0.006319533
52,0.0014735027,0.0022417684,0.0057821437
53,0.0018176915,0.0026173398,0.007933131
54,0.0004975529,0.00051548047,0.006050722
55,0.0016756486,0.002706954,0.007763453
56,0.0065060006,0.010522801,0.007609176
57,0.005506066,0.012555565,0.0042533693
58,0.006056137,0.052574635,0.0047069867
59,0.007206604,0.015299561,0.0046225665
60,0.00165306,0.0017286458,0.0058201146
61,0.00169164,0.0024064006,0.0076871524
62,0.0018960617,0.002061044,0.005427992
63,0.0068231076,0.0029902766,0.00669214
64,0.0055736424,0.008255818,0.0047986517
65,0.0018118268,0.0062559047,0.0019734113
66,0.0027121603,0.0054159514,0.003944383
67,0.003497369,0.008159717,0.0035861253
68,0.0017922608,0.0018872495,0.0027983864
69,0.00033008683,0.0010787004,0.0058944067
70,0.0069504837,0.002587911,0.0068833977
71,0.0010938561,0.003559931,0.0015464034
72,0.01140866,0.012150749,0.021746889
73,0.006940475,0.009843496,0.022821229
74,0.0012194718,0.0023665526,0.0039899764
75,0.007628436,0.023152161,0.02083553
76,0.058539856,0.016959142,0.12610231
77,0.012120078,0.0052930675,0.035287138
78,0.0025639255,0.0021115157,0.010479512
79,0.04937779,0.026197126,0.1755604
80,0.013685134,0.030374136,0.17440344
81,0.019667711,0.017732352,0.038250137
82,0.010695447,0.035815608,0.016874144
83,0.045108777,0.03186506,0.06493835
84,0.0032559365,0.010911375,0.00694507
85,0.0020883032,0.0038253968,0.0055099144
86,0.0019302461,0.0018977566,0.0020641957
87,0.003213787,0.00896822,0.0040092645
88,0.0067426115,0.0075334283,0.008041235
89,0.0020459516,0.00720217,0.0035292495
90,0.002960647,0.0055000526,0.002323131
91,0.0042994358,0.009782153,0.0069529363
92,0.00193794,0.003138252,0.0064142845
93,0.00093606266,0.0026860083,0.001083026
94,0.002039217,0.0032190587,0.0069129495
95,0.002951194,0.010754064,0.009680435
